abrazo,hug,étreinte
amor,love,amour
anillo,ring,bague
aprender,learn,apprendre
árbol,tree,arbre
azul,blue,bleu
bailar,dance,danser
beso,kiss,baiser
blanco,white,blanc
caliente,hot,chaud
cama,bed,lit
caminar,walk,marcher
cantar,sing,chanter
casa,house,maison
cielo,sky,ciel
comida,food,nourriture
correr,run,courir
creer,believe,croire
cruz,cross,croix
cuadro,painting,peinture
dedo,finger,doigt
derecha,right,droite
desayuno,breakfast,petitdéjeuner
diente,tooth,dent
dolor,pain,douleur
dormir,sleep,dormir
dulce,sweet,doux
escuchar,listen,écouter
estrella,star,étoile
feliz,happy,heureux
flor,flower,fleur
frío,cold,froid
gato,cat,chat
gente,people,gens
girasol,sunflower,tournesol
hacer,do,faire
hablar,talk,parler
helado,icecream,glace
hermano,brother,frère
historia,history,histoire
hora,hour,heure
jardín,garden,jardin
jugar,play,jouer
lápiz,pencil,crayon
lector,reader,lecteur
león,lion,lion
libro,book,livre
lluvia,rain,pluie
mañana,morning,matin
manzana,apple,pomme
mar,sea,mer
mirar,look,regarder
montaña,mountain,montagne
mujer,woman,femme
música,music,musique
nariz,nose,nez
niño,child,enfant
noche,night,nuit
oír,hear,entendre
ojo,eye,œil
oreja,ear,oreille
palabra,word,mot
parque,park,parc
perro,dog,chien
pescado,fish,poisson
pintar,paint,peindre
planta,plant,plante
poder,power,pouvoir
preguntar,ask,demander
primavera,spring,printemps
puerta,door,porte
